확장 대상 192개사, 최근 [2024, 2025] 개년만
  30121 자동차 제조업(완성차): 2개사
  303 자동차 부품 제조업: 91개사
  212 완제 의약품 제조업: 99개사
[적재] 한독 FY2024: KAM 섹션 837자
[스킵] 한독 FY2025: 사업보고서(12월 결산) 없음
[적재] 한올바이오파마 FY2024: KAM 섹션 796자
[적재] 한올바이오파마 FY2025: KAM 섹션 943자
[스킵] 현대약품 FY2024: 사업보고서(12월 결산) 없음
[스킵] 현대약품 FY2025: 사업보고서(12월 결산) 없음
[적재] 화일약품 FY2024: KAM 섹션 852자
[스킵] 화일약품 FY2025: 사업보고서(12월 결산) 없음
[적재] 환인제약 FY2024: KAM 섹션 660자
[적재] 환인제약 FY2025: KAM 섹션 681자
[적재] 휴메딕스 FY2024: KAM 섹션 640자
[적재] 휴메딕스 FY2025: KAM 섹션 643자
[적재] 휴온스 FY2024: KAM 섹션 1275자
[적재] 휴온스 FY2025: KAM 섹션 1774자
[적재] 휴온스글로벌 FY2024: KAM 섹션 769자
[적재] 휴온스글로벌 FY2025: KAM 섹션 726자
[적재] 기아 FY2024: KAM 섹션 1170자
[적재] 기아 FY2025: KAM 섹션 1237자
[적재] 현대자동차 FY2024: KAM 섹션 1708자
[적재] 현대자동차 FY2025: KAM 섹션 1710자
[적재] DH오토넥스 FY2024: KAM 섹션 857자
[적재] DH오토넥스 FY2025: KAM 섹션 999자
[적재] HL만도 FY2024: KAM 섹션 1592자
[적재] HL만도 FY2025: KAM 섹션 1031자
[적재] KB오토시스 FY2024: KAM 섹션 959자
[적재] KB오토시스 FY2025: KAM 섹션 782자
[적재] SG&G FY2024: KAM 섹션 1069자
[적재] SG&G FY2025: KAM 섹션 945자
[적재] SG글로벌 FY2024: KAM 섹션 808자
[적재] SG글로벌 FY2025: KAM 섹션 788자
[적재] SJG세종 FY2024: KAM 섹션 810자
[스킵] SJG세종 FY2025: 사업보고서(12월 결산) 없음
[적재] SNT모티브 FY2024: KAM 섹션 735자
[적재] SNT모티브 FY2025: KAM 섹션 759자
[적재] 구영테크 FY2024: KAM 섹션 610자
[적재] 구영테크 FY2025: KAM 섹션 622자
[적재] 금호에이치티 FY2024: KAM 섹션 628자
[적재] 금호에이치티 FY2025: KAM 섹션 604자
[적재] 네오오토 FY2024: KAM 섹션 730자
[적재] 네오오토 FY2025: KAM 섹션 776자
[적재] 네오티스 FY2024: KAM 섹션 700자
[스킵] 네오티스 FY2025: 사업보고서(12월 결산) 없음
[적재] 뉴인텍 FY2024: KAM 섹션 747자
[적재] 뉴인텍 FY2025: KAM 섹션 984자
[적재] 대원강업 FY2024: KAM 섹션 887자
[적재] 대원강업 FY2025: KAM 섹션 1005자
[적재] 대원산업 FY2024: KAM 섹션 1134자
[적재] 대원산업 FY2025: KAM 섹션 661자
[적재] 대창단조 FY2024: KAM 섹션 611자
[적재] 대창단조 FY2025: KAM 섹션 620자
[스킵] 동원모빌리티 FY2024: 사업보고서(12월 결산) 없음
[스킵] 동원모빌리티 FY2025: 사업보고서(12월 결산) 없음
[적재] 두올 FY2024: KAM 섹션 1933자
[적재] 두올 FY2025: KAM 섹션 945자
[적재] 디아이씨 FY2024: KAM 섹션 760자
[적재] 디아이씨 FY2025: KAM 섹션 713자
[적재] 디와이덕양 FY2024: KAM 섹션 629자
[적재] 디와이덕양 FY2025: KAM 섹션 633자
[적재] 디와이씨 FY2024: KAM 섹션 848자
[적재] 디와이씨 FY2025: KAM 섹션 848자
[적재] 디와이에이 FY2024: KAM 섹션 923자
[적재] 디와이에이 FY2025: KAM 섹션 923자
[적재] 디젠스 FY2024: KAM 섹션 910자
[적재] 디젠스 FY2025: KAM 섹션 842자
[스킵] 럭슬 FY2024: 사업보고서(12월 결산) 없음
[스킵] 럭슬 FY2025: 사업보고서(12월 결산) 없음
[적재] 명신산업 FY2024: KAM 섹션 674자
[적재] 명신산업 FY2025: KAM 섹션 674자
[적재] 모베이스전자 FY2024: KAM 섹션 634자
[적재] 모베이스전자 FY2025: KAM 섹션 719자
[적재] 모토닉 FY2024: KAM 섹션 643자
[적재] 모토닉 FY2025: KAM 섹션 640자
[적재] 모트렉스 FY2024: KAM 섹션 805자
